Country,Men,Women,Average,Age gap,Age ratio,Year,Source
Antigua and Barbuda,29.0,25.0,27.0,4.0,1.16,2001,[2]
Argentina,38.8,36.8,37.8,2.0,1.05,2020,[8]
Bahamas,30.6,27.0,28.8,3.6,1.13,2010,[2]
Barbados,35.3,32.9,34.1,2.4,1.07,2000,[2]
Belize,30.1,28.6,29.4,1.5,1.05,2010,[2]
Bolivia,26.6,24.1,25.4,2.5,1.1,2012,[2]
Brazil,31.5,29.2,30.4,2.3,1.08,2022,[9]
Canada (more info),30.8,30.4,30.6,0.4,1.01,2022,[10]
Chile (more info),39.4,37.8,38.6,1.6,1.04,2020,[11]
Colombia,26.2,22.7,24.5,3.5,1.15,2015,[2]
Costa Rica,34.0,31.0,32.5,3.0,1.1,2020,[12]
Cuba (more info),25.4,21.3,23.4,4.1,1.19,2012,[2]
Ecuador,28.3,25.1,26.7,3.2,1.13,2020,[2]
El Salvador,25.5,22.5,24.0,3.0,1.13,2007,[2]
Grenada,35.2,32.0,33.6,3.2,1.1,2000,[2]
Guatemala,25.0,22.7,23.9,2.3,1.1,2018,[2]
Guyana,25.4,21.5,23.5,3.9,1.18,2009,[2]
Haiti,28.7,24.9,26.8,3.8,1.15,2016,[2]
Honduras,24.1,21.2,22.7,2.9,1.14,2012,[2]
Jamaica,35.4,33.8,34.6,1.6,1.05,2022,[2]
Mexico,33.4,30.6,32.0,2.8,1.09,2022,[13]
Nicaragua,24.4,20.6,22.5,3.8,1.18,2005,[2]
Panama,25.3,21.6,23.5,3.7,1.17,2010,[2]
Paraguay (more info),26.8,22.7,24.8,4.1,1.18,2002,[2]
Peru,27.5,23.5,25.5,4.0,1.17,2012,[2]
Saint Kitts and Nevis,32.1,31.3,31.7,0.8,1.03,1980,[2]
Saint Lucia,36.1,34.9,35.5,1.2,1.03,2000,[2]
Saint Vincent and the Grenadines,27.8,21.2,24.5,6.6,1.31,2012,[2]
Suriname,32.8,29.3,31.1,3.5,1.12,2012,[2]
Trinidad and Tobago,31.8,29.2,30.5,2.6,1.09,2011,[2]
United States (more info),32.0,30.8,31.4,1.2,1.04,2024,[14]
Uruguay,37.2,34.8,36.0,2.4,1.07,2019,[2]
Venezuela,25.8,22.9,24.4,2.9,1.13,2011,[2]
